id,titulo,tipo,fonteTitulo,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores,orcid_autores,departamento,origem,financiador,repositorioIPBeja,apoiosPublicacao
WOS:001324299300001,"Futile therapeutic nursing interventions in adult intensive care: A descriptive study","Article, Early Access","NURSING ETHICS",2024-09-28,,,,,,19,10.1177/09697330241277988,"Joao Vitor Vieira; Henrique Oliveira; Sergio Deodato; Felismina Mendes",0000-0001-8687-4291,Engenharia,WOS,N/A,N/A,N/A
WOS:001362615300001,"Book of abstracts of the 5th CHRC Annual Summit Evora, Portugal, September 23 and 24, 2024 Abstracts",Meeting,"PORTUGUESE JOURNAL OF PUBLIC HEALTH",2024-11-01,42,"SUPPL 2",1-32,1,32,32,10.1159/000542309,,,,WOS,N/A,N/A,N/A
WOS:001399073000001,"Simulated practice in the development of clinical reasoning in nursing students: A systematic review protocol ☆ , ☆☆",Review,METHODSX,2025-06-01,14,,,,,5,10.1016/j.mex.2024.103144,"Rute Pires; Maria Marques; Henrique Oliveira; Margarida Goes; Miguel Pedrosa; Manuel Lopes","0000-0001-7971-1689; 0000-0001-8687-4291","Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:A1993KJ77100018,"REDUCTION OF NITROSOBENZENE BY 2-(ALPHA-HYDROXYETHYL)-3,4-DIMETHYLTHIAZOLIUM SALTS",Article,"JOURNAL OF THE CHEMICAL SOCIETY-CHEMICAL COMMUNICATIONS",1993-01-21,,2,133-134,133,134,2,10.1039/c39930000133,"LM FERREIRA; HT CHAVES; AM LOBO; S PRABHAKAR; HS RZEPA",0000-0003-2747-8891,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:A1995BE32G00028,"Theoretical mechanistic investigation of asymmetric aziridination by N-aryl-O-acylhydroxylamines","Proceedings Paper","E.C.C.C. 1 COMPUTATIONAL CHEMISTRY",1995-01-01,330,,140-144,140,144,3,,"HT Chaves; AM Lobo; S Prabhakar; HS Rzepa",0000-0003-2747-8891,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000189095100008,"A multiple objective mixed integer linear programming model for power generation expansion planning",Article,ENERGY,2004-03-01,29,4,613-627,613,627,15,10.1016/j.energy.2003.10.012,"CH Antunes; AG Martins; IS Brito",0000-0002-7556-4367,Engenharia,WOS,N/A,N/A,N/A
WOS:000243744900007,"Tool support for aspect-oriented requirements","Proceedings Paper","Proceedings of the 10th IASTED International Conference on Software Engineering and Applications",2006-01-01,,,38-44,38,44,7,,"Isabel Sofia Britol; Ana Moreira; Joao Araujo","0000-0001-7312-5224; 0000-0003-2798-1913","Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000241937800061,"An XML-based language for specification and composition of aspectual concerns","Proceedings Paper","ICEIS 2006: PROCEEDINGS OF THE EIGHTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS",2006-01-01,,,410-+,410,+,3,,"Elisabete Soeiro; Isabel Sofia Brito; Ana Moreira",0000-0001-7312-5224,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000242104000052,"Towards an integrated approach for aspectual requirements","Proceedings Paper","RE'06: 14th IEEE International Requirements Engineering Conference, Proceedings",2006-01-01,,,341-342,341,342,2,,"Isabel Sofia Brito; Ana Moreira",0000-0001-7312-5224,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000271175300006,"Handling Conflicts in Aspectual Requirements Compositions","Article, Book Chapter","TRANSACTIONS ON ASPECT-ORIENTED SOFTWARE DEVELOPMENT III",2007-01-01,4620,,144-166,144,166,23,,"Isabel Sofia Brito; Filipe Vieira; Ana Moreira; Rita A. Ribeiro",0000-0001-7312-5224,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
